sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
JS728,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
JS729,2,1,1,1,1,1,1,1,1,2,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
JS730,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1
JS733,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
JS736,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
JS737,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
JS738,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1
JS739,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
JS602,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,2,2,2,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
JS603,1,2,2,2,1,1,2,2,2,2,3,3,0,0,0,3,3,3,2,2,1,2,2,2,2,2,2,3,3,3,2,1,1,0,0,2,2,1,1,2,2,1,1
JS613,2,1,2,2,0,0,2,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,3,3,0,3,3,4,0,1,1,0,0,1,2,2,2
JS617,2,1,1,2,2,1,1,0,1,1,0,1,0,0,1,2,2,1,1,2,2,3,2,2,3,0,0,0,0,0,3,0,0,0,0,3,3,3,3,0,0,2,2
JS709,2,1,2,2,1,2,1,2,2,2,2,2,0,2,1,1,1,1,2,2,1,2,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,2,0,2,1,2,2
JS712,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1
JS720,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1
JS721,0,1,0,0,0,2,3,2,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JS723,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
JS607,1,1,1,2,2,2,1,2,2,2,2,1,1,0,1,2,2,2,1,2,2,2,2,2,2,2,2,0,0,1,1,2,2,2,2,2,2,2,2,1,1,1,1
JS614,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1
JS615,2,1,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2
JS732,2,1,2,2,2,2,3,2,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,2,2,0,0,0,0,2,2,2,2,2,2,2,2
JS734,0,1,1,2,2,2,1,1,1,1,0,1,1,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
