1	5	48	12	1
2	0	65	1	0
3	2	54	9	1
4	2	49	14	1
5	4	49	11	2
6	3	50	11	2
7	0	55	7	4
8	4	48	11	3
9	0	51	13	2
10	0	51	12	3
11	14	37	13	2
12	0	58	4	4
13	19	39	5	3
14	31	24	6	5
15	29	28	5	4
16	8	44	8	6
17	8	44	8	6
18	7	45	9	5
19	0	50	11	5
20	0	49	13	4
21	9	44	9	4
22	2	47	12	5
23	3	47	11	5
24	0	49	13	4
25	3	47	11	5
26	5	47	9	5
27	10	45	7	4
28	21	39	1	5
29	15	41	4	6
30	17	39	5	5
31	30	28	5	3
32	43	19	2	2
33	42	20	2	2
34	45	18	1	2
35	48	16	1	1
36	17	36	9	4
37	14	38	9	5
38	15	39	7	5
39	15	39	8	4
40	12	43	8	3
41	9	44	12	1
42	6	49	10	1
43	5	48	12	1
